Cat,Light,GBR,H2O,Average,Real
45.59724425,46.96873233,47.00037604,47.6054042,46.7929392,47.06
53.01589242,51.29390974,51.34023297,51.37535199,51.75634678,52.16
55.64645208,53.19583984,53.24098273,55.83217556,54.47886255,51.32
52.2741794,53.09430939,52.33027592,51.5863981,52.3212907,52.54
53.11011422,52.92740946,54.09537721,51.68919066,52.95552289,61.59
51.33253999,52.04365659,51.71697782,54.64836937,52.43538594,45.94
59.8172221,59.90230382,57.45483158,58.36724117,58.88539967,59.96
53.71174115,53.23791209,52.773244,53.80167047,53.38114193,52.54
57.27378194,56.52598013,55.86674453,57.66621443,56.83318026,57.42
50.85586751,47.38241717,50.17611381,46.91490346,48.83232549,44.17
53.18327349,55.07724162,54.72957928,55.95161386,54.73542706,51.4
58.12707205,57.96150522,57.4571522,57.82242912,57.84203965,59.96
